Day, Qtd, Positive, Neutral, Negative, Polarity
Mar 19,33,17,10,6,3.4361707241687713
Mar 20,183,90,60,33,18.877994815153016
Mar 21,183,87,67,29,18.896193999143215
Mar 22,191,102,54,35,24.07311793278064
Mar 23,152,75,54,23,18.153025008267196
Mar 24,148,81,49,18,19.945569006527872
Mar 25,153,74,56,23,18.677917607295054
Mar 26,127,69,39,19,18.231051098785475
Mar 27,140,77,38,25,16.182233998278925
Mar 28,155,84,49,22,19.975551118983734
Mar 29,45,23,12,10,3.808497564935065
Mar 30,85,40,27,18,9.651105699855702
Mar 31,99,56,29,14,12.971196606128252
Apr 01,117,59,43,15,14.415367138648389
Apr 02,112,57,39,16,12.222498957646359
Apr 03,111,59,32,20,13.50379283910534
Apr 04,101,48,35,18,10.844153311965815
Apr 05,89,50,23,16,14.077267466329966
Apr 06,77,49,15,13,13.173773223304474
Apr 07,92,46,26,20,8.361872467809969
Apr 08,68,40,16,12,10.638572668650792
Apr 09,70,34,25,11,8.3056555792298
Apr 10,55,32,19,4,10.376787968975467
Apr 11,91,45,28,18,7.236002698112071
Apr 12,85,51,23,11,22.543518668831165
Apr 13,59,33,18,8,14.336699514678031
Apr 14,45,23,16,6,6.113276707739597
Apr 15,43,23,12,8,4.193944805194803
Apr 16,72,32,32,8,7.86513888888889
Apr 17,68,39,20,9,10.146425918880022
Apr 18,141,66,47,28,16.551110058922553
Apr 19,221,89,64,68,19.815431955107236
Apr 20,126,54,39,33,9.951392815806877
Apr 21,160,73,55,32,19.854838113275612
Apr 22,119,55,31,33,9.129541847041851
Apr 23,154,74,48,32,18.04532667745
Apr 24,128,64,41,23,14.716607330160805
Apr 25,161,90,49,22,22.50473730045996
Apr 26,136,79,41,16,22.377967897641163
Apr 27,115,64,38,13,17.428610359547857
Apr 28,199,101,65,33,20.813360643262993
Apr 29,264,123,88,53,27.763397156084658
Apr 30,262,152,64,46,35.935937757678836
May 01,341,167,122,52,38.64924098821978
May 02,364,186,99,79,43.04254981485373
May 03,251,124,83,44,28.205588826321254
May 04,233,119,68,46,30.371565202809343
May 05,350,173,103,74,44.78010897667146
May 06,328,173,91,64,44.55709408068783
May 07,305,165,80,60,35.79046575820014
May 08,304,167,93,44,44.231913722273106
May 09,338,167,97,74,46.11882466423191
May 10,189,109,54,26,31.20232293169794
May 11,205,105,60,40,23.315406705562953
May 12,273,122,73,78,21.50706539608396
May 13,250,126,77,47,29.448320256132753
May 14,324,168,87,69,35.75477519669484
May 15,335,187,87,61,43.86135380688675
May 16,273,152,81,40,37.644421462609024
May 17,221,96,68,57,21.841262288059173
May 18,219,117,69,33,27.522359401304723
May 19,236,118,75,43,27.546085821007683
May 20,229,135,57,37,35.01818688964393
May 21,245,138,64,43,32.40248897080929
May 22,89,31,23,35,4.646383512321013
